part_id,part_code,category,description,ata_chapter,criticality,unit_cost_usd,lead_time_days
1,ENG-FUEL-PUMP-001,Engine,Main engine fuel pump - variant A,73,A,18760,52
2,ENG-FUEL-PUMP-002,Engine,Main engine fuel pump - variant B,73,A,15290,55
3,ENG-FUEL-PUMP-003,Engine,Main engine fuel pump - variant C,73,A,18390,50
4,ENG-FUEL-PUMP-004,Engine,Main engine fuel pump - variant D,73,A,17680,43
5,ENG-OIL-FILTER-001,Engine,High-pressure engine oil filter - variant A,79,B,370,12
6,ENG-OIL-FILTER-002,Engine,High-pressure engine oil filter - variant B,79,B,360,9
7,ENG-OIL-FILTER-003,Engine,High-pressure engine oil filter - variant C,79,B,380,9
8,ENG-OIL-FILTER-004,Engine,High-pressure engine oil filter - variant D,79,B,300,16
9,ENG-IGNITOR-001,Engine,Engine ignitor plug - variant A,74,B,890,31
10,ENG-IGNITOR-002,Engine,Engine ignitor plug - variant B,74,B,970,24
11,ENG-IGNITOR-003,Engine,Engine ignitor plug - variant C,74,B,780,22
12,ENG-IGNITOR-004,Engine,Engine ignitor plug - variant D,74,B,1060,20
13,ENG-FADEC-001,Engine,Full-authority digital engine control unit - variant A,73,A,46370,70
14,ENG-FADEC-002,Engine,Full-authority digital engine control unit - variant B,73,A,51040,71
15,ENG-FADEC-003,Engine,Full-authority digital engine control unit - variant C,73,A,56150,70
16,ENG-FADEC-004,Engine,Full-authority digital engine control unit - variant D,73,A,48140,80
17,AVN-FCC-001,Avionics,Flight control computer LRU - variant A,22,A,73710,91
18,AVN-FCC-002,Avionics,Flight control computer LRU - variant B,22,A,88830,92
19,AVN-FCC-003,Avionics,Flight control computer LRU - variant C,22,A,68140,87
20,AVN-FCC-004,Avionics,Flight control computer LRU - variant D,22,A,72720,96
21,AVN-INS-001,Avionics,Inertial navigation unit / gyro - variant A,34,A,46800,57
22,AVN-INS-002,Avionics,Inertial navigation unit / gyro - variant B,34,A,36140,54
23,AVN-INS-003,Avionics,Inertial navigation unit / gyro - variant C,34,A,39600,68
24,AVN-INS-004,Avionics,Inertial navigation unit / gyro - variant D,34,A,38210,47
25,AVN-RADAR-ALT-001,Avionics,Radar altimeter LRU - variant A,34,A,32390,72
26,AVN-RADAR-ALT-002,Avionics,Radar altimeter LRU - variant B,34,A,25670,53
27,AVN-RADAR-ALT-003,Avionics,Radar altimeter LRU - variant C,34,A,29480,59
28,AVN-RADAR-ALT-004,Avionics,Radar altimeter LRU - variant D,34,A,23750,68
29,AVN-MC-001,Avionics,Mission computer LRU - variant A,46,A,84100,79
30,AVN-MC-002,Avionics,Mission computer LRU - variant B,46,A,88540,72
31,AVN-MC-003,Avionics,Mission computer LRU - variant C,46,A,103020,95
32,AVN-MC-004,Avionics,Mission computer LRU - variant D,46,A,105620,69
33,AVN-GPS-001,Avionics,GPS receiver module - variant A,34,B,7020,59
34,AVN-GPS-002,Avionics,GPS receiver module - variant B,34,B,9230,58
35,AVN-GPS-003,Avionics,GPS receiver module - variant C,34,B,8970,36
36,AVN-GPS-004,Avionics,GPS receiver module - variant D,34,B,6260,49
37,AVN-DISPLAY-001,Avionics,Primary flight display unit - variant A,31,A,27450,68
38,AVN-DISPLAY-002,Avionics,Primary flight display unit - variant B,31,A,32910,81
39,AVN-DISPLAY-003,Avionics,Primary flight display unit - variant C,31,A,29910,65
40,AVN-DISPLAY-004,Avionics,Primary flight display unit - variant D,31,A,33830,53
